Date,Open,High,Low,Close,Adj Close,Volume
2020-07-07,1789.300049,1804.199951,1783.300049,1804.199951,1804.199951,751
2020-07-08,1801.500000,1817.900024,1801.500000,1815.500000,1815.500000,209
2020-07-09,1816.099976,1819.800049,1799.199951,1799.199951,1799.199951,396
2020-07-10,1805.500000,1805.500000,1797.699951,1798.199951,1798.199951,236
2020-07-13,1805.000000,1811.000000,1805.000000,1811.000000,1811.000000,164
2020-07-14,1791.000000,1811.500000,1791.000000,1810.599976,1810.599976,339
2020-07-15,1806.099976,1813.500000,1806.099976,1811.400024,1811.400024,167
2020-07-16,1810.900024,1810.900024,1794.300049,1798.699951,1798.699951,146
2020-07-17,1798.500000,1810.099976,1798.500000,1808.300049,1808.300049,24
2020-07-20,1807.000000,1817.300049,1807.000000,1815.900024,1815.900024,89
2020-07-21,1822.000000,1842.400024,1822.000000,1842.400024,1842.400024,117
2020-07-22,1858.099976,1867.000000,1854.699951,1864.099976,1864.099976,213
2020-07-23,1868.699951,1890.300049,1868.500000,1889.099976,1889.099976,133
2020-07-24,1884.300049,1897.300049,1884.300049,1897.300049,1897.300049,474
2020-07-27,1901.699951,1938.000000,1901.500000,1931.000000,1931.000000,364
2020-07-28,1931.500000,1944.699951,1928.599976,1944.699951,1944.699951,825
2020-07-29,1953.199951,1953.500000,1952.599976,1953.500000,1953.500000,209835
2020-07-30,1963.400024,1965.099976,1930.000000,1942.300049,1942.300049,28853
2020-07-31,1948.599976,1981.099976,1948.000000,1962.800049,1962.800049,2914
2020-08-03,1984.300049,1984.300049,1955.500000,1966.000000,1966.000000,683
2020-08-04,1971.000000,2016.199951,1968.800049,2001.199951,2001.199951,2010
2020-08-05,2024.000000,2050.199951,2011.000000,2031.099976,2031.099976,1422
2020-08-06,2045.500000,2063.000000,2040.000000,2051.500000,2051.500000,294
2020-08-07,2040.099976,2055.000000,2009.599976,2010.099976,2010.099976,808
2020-08-10,2026.400024,2043.800049,2017.500000,2024.400024,2024.400024,233
2020-08-11,2012.400024,2016.000000,1904.000000,1932.599976,1932.599976,971
2020-08-12,1923.000000,1946.599976,1871.599976,1934.900024,1934.900024,404
2020-08-13,1921.500000,1957.400024,1916.900024,1956.699951,1956.699951,71
2020-08-14,1938.699951,1947.400024,1937.000000,1937.000000,1937.000000,201
2020-08-17,1949.599976,1985.000000,1949.599976,1985.000000,1985.000000,97
2020-08-18,2001.099976,2002.800049,1972.099976,1999.400024,1999.400024,92
2020-08-19,1980.000000,1980.000000,1938.699951,1958.699951,1958.699951,347
2020-08-20,1941.199951,1948.300049,1922.300049,1933.800049,1933.800049,106
2020-08-21,1941.000000,1945.000000,1908.900024,1934.599976,1934.599976,184
2020-08-24,1930.199951,1940.000000,1922.199951,1927.699951,1927.699951,85
2020-08-25,1927.500000,1928.500000,1911.800049,1911.800049,1911.800049,176
2020-08-26,1909.699951,1950.800049,1909.699951,1940.699951,1940.699951,287
2020-08-27,1948.900024,1972.500000,1921.599976,1921.599976,1921.599976,2303
2020-08-28,1927.099976,1971.300049,1922.500000,1964.599976,1964.599976,778
2020-08-31,1970.000000,1971.300049,1953.300049,1967.599976,1967.599976,158
2020-09-01,1961.699951,1986.300049,1961.699951,1968.199951,1968.199951,186
2020-09-02,1967.300049,1967.300049,1934.400024,1934.400024,1934.400024,71
2020-09-03,1937.099976,1938.800049,1923.000000,1927.599976,1927.599976,179
